"","participant","expName","test_number","some_all","yn","dou"
"1",114,"WHanyBy",4,"1",0,"0"
"2",140,"WHanyBy",4,"1",0,"0"
"3",140,"WHanyBy",3,"1",0,"0"
"4",121,"WHanyBx",1,"1",0,"0"
"5",140,"WHanyBy",1,"1",0,"0"
"6",127,"WHanyBx",2,"1",0,"0"
"7",127,"WHanyBx",4,"1",0,"0"
"8",116,"WHanyBy",2,"1",0,"0"
"9",127,"WHanyBx",1,"1",0,"0"
"10",132,"WHanyBx",4,"1",0,"0"
"11",115,"WHanyBy",3,"1",0,"0"
"12",132,"WHanyBx",2,"1",0,"0"
"13",116,"WHanyBy",4,"1",0,"0"
"14",117,"WHanyBy",3,"1",0,"0"
"15",133,"WHanyBy",3,"1",0,"0"
"16",598,"WHanyBy",4,"1",0,"0"
"17",598,"WHanyBy",3,"1",0,"0"
"18",600,"WHanyBx",4,"1",0,"0"
"19",600,"WHanyBx",3,"1",0,"0"
"20",603,"WHanyBy",4,"1",0,"0"
"21",603,"WHanyBy",3,"1",0,"0"
"22",604,"WHanyBy",4,"1",0,"0"
"23",604,"WHanyBy",3,"1",0,"0"
"24",607,"WHanyBx",4,"1",0,"0"
"25",607,"WHanyBx",3,"1",0,"0"
"26",610,"WHanyBx",4,"1",0,"0"
"27",610,"WHanyBx",3,"1",0,"0"
"28",611,"WHanyBy",4,"1",0,"0"
"29",611,"WHanyBy",3,"1",0,"0"
"30",637,"WHanyBy",4,"1",0,"0"
"31",637,"WHanyBy",3,"1",0,"0"
"32",638,"WHanyBy",4,"1",0,"0"
"33",638,"WHanyBy",3,"1",0,"0"
"34",643,"WHanyBx",4,"1",0,"0"
"35",643,"WHanyBx",3,"1",0,"0"
"36",644,"WHanyBx",4,"1",0,"0"
"37",644,"WHanyBx",3,"1",0,"0"
"38",645,"WHanyBx",4,"1",0,"0"
"39",645,"WHanyBx",3,"1",0,"0"
"40",648,"WHanyBy",4,"1",0,"0"
"41",648,"WHanyBy",3,"1",0,"0"
"42",651,"WHanyBy",4,"1",0,"0"
"43",651,"WHanyBy",3,"1",0,"0"
"44",652,"WHanyBx",4,"1",0,"0"
"45",652,"WHanyBx",3,"1",0,"0"
"46",133,"WHanyBy",1,"1",0,"0"
"47",133,"WHanyBy",2,"1",0,"0"
"48",598,"WHanyBy",1,"1",0,"0"
"49",598,"WHanyBy",2,"1",0,"0"
"50",600,"WHanyBx",1,"1",0,"0"
"51",600,"WHanyBx",2,"1",0,"0"
"52",603,"WHanyBy",1,"1",0,"0"
"53",603,"WHanyBy",2,"1",0,"0"
"54",604,"WHanyBy",1,"1",0,"0"
"55",604,"WHanyBy",2,"1",0,"0"
"56",607,"WHanyBx",1,"1",0,"0"
"57",607,"WHanyBx",2,"1",0,"0"
"58",610,"WHanyBx",1,"1",0,"0"
"59",610,"WHanyBx",2,"1",0,"0"
"60",611,"WHanyBy",1,"1",0,"0"
"61",611,"WHanyBy",2,"1",0,"0"
"62",637,"WHanyBy",1,"1",0,"0"
"63",637,"WHanyBy",2,"1",0,"0"
"64",638,"WHanyBy",1,"1",0,"0"
"65",638,"WHanyBy",2,"1",0,"0"
"66",643,"WHanyBx",1,"1",0,"0"
"67",643,"WHanyBx",2,"1",0,"0"
"68",644,"WHanyBx",1,"1",0,"0"
"69",644,"WHanyBx",2,"1",0,"0"
"70",645,"WHanyBx",1,"1",0,"0"
"71",645,"WHanyBx",2,"1",0,"0"
"72",648,"WHanyBy",1,"1",0,"0"
"73",648,"WHanyBy",2,"1",0,"0"
"74",651,"WHanyBy",1,"1",0,"0"
"75",651,"WHanyBy",2,"1",0,"0"
"76",652,"WHanyBx",1,"1",0,"0"
"77",652,"WHanyBx",2,"1",0,"0"
"78",119,"WHanyBx",3,"1",0,"0"
"79",131,"WHanyBx",3,"1",0,"0"
"80",116,"WHanyBy",3,"1",0,"0"
"81",136,"WHanyBy",1,"1",0,"0"
"82",119,"WHanyBx",4,"1",0,"0"
"83",114,"WHanyBy",1,"1",0,"0"
"84",119,"WHanyBx",1,"1",0,"0"
"85",114,"WHanyBy",2,"1",0,"0"
"86",114,"WHanyBy",3,"1",0,"0"
"87",131,"WHanyBx",2,"1",0,"0"
"88",109,"WHanyBx",1,"1",0,"0"
"89",109,"WHanyBx",2,"1",0,"0"
"90",109,"WHanyBx",4,"1",0,"0"
"91",117,"WHanyBy",4,"1",0,"0"
"92",121,"WHanyBx",4,"1",0,"0"
"93",136,"WHanyBy",4,"1",0,"0"
"94",137,"WHanyBy",3,"1",0,"0"
"95",132,"WHanyBx",1,"1",0,"0"
"96",136,"WHanyBy",2,"1",0,"0"
"97",119,"WHanyBx",2,"1",0,"0"
"98",137,"WHanyBy",4,"1",0,"0"
"99",115,"WHanyBy",4,"1",0,"0"
"100",117,"WHanyBy",1,"1",0,"0"
"101",133,"WHanyBy",4,"1",0,"0"
"102",117,"WHanyBy",2,"1",0,"0"
"103",137,"WHanyBy",1,"1",0,"0"
"104",137,"WHanyBy",2,"1",0,"0"
"105",115,"WHanyBy",1,"1",0,"0"
"106",132,"WHanyBx",3,"1",0,"0"
"107",127,"WHanyBx",3,"1",0,"0"
"108",115,"WHanyBy",2,"1",0,"0"
"109",130,"WHanyBx",4,"1",0,"0"
"110",130,"WHanyBx",3,"1",0,"0"
"111",130,"WHanyBx",1,"1",0,"0"
"112",130,"WHanyBx",2,"1",0,"0"
"113",131,"WHanyBx",4,"1",0,"0"
"114",140,"WHanyBy",2,"1",0,"0"
"115",136,"WHanyBy",3,"1",0,"0"
"116",131,"WHanyBx",1,"1",0,"0"
"117",109,"WHanyBx",3,"1",0,"0"
"118",116,"WHanyBy",1,"1",0,"0"
"119",121,"WHanyBx",3,"1",0,"0"
"120",121,"WHanyBx",2,"1",0,"0"
"121",140,"WHanyBy",2,"0",0,"0"
"122",140,"WHanyBy",3,"0",0,"0"
"123",140,"WHanyBy",4,"0",0,"0"
"124",132,"WHanyBx",1,"0",0,"0"
"125",121,"WHanyBx",3,"0",0,"0"
"126",137,"WHanyBy",4,"0",0,"0"
"127",137,"WHanyBy",2,"0",0,"0"
"128",137,"WHanyBy",1,"0",0,"0"
"129",137,"WHanyBy",3,"0",0,"0"
"130",115,"WHanyBy",4,"0",0,"0"
"131",109,"WHanyBx",1,"0",0,"0"
"132",109,"WHanyBx",3,"0",0,"0"
"133",133,"WHanyBy",2,"0",0,"0"
"134",132,"WHanyBx",2,"0",0,"0"
"135",117,"WHanyBy",4,"0",0,"0"
"136",600,"WHanyBx",4,"0",0,"0"
"137",607,"WHanyBx",4,"0",0,"0"
"138",610,"WHanyBx",4,"0",0,"0"
"139",643,"WHanyBx",4,"0",0,"0"
"140",644,"WHanyBx",4,"0",0,"0"
"141",645,"WHanyBx",4,"0",0,"0"
"142",652,"WHanyBx",4,"0",0,"0"
"143",117,"WHanyBy",2,"0",0,"0"
"144",121,"WHanyBx",2,"0",0,"0"
"145",117,"WHanyBy",1,"0",0,"0"
"146",117,"WHanyBy",3,"0",0,"0"
"147",121,"WHanyBx",1,"0",0,"0"
"148",116,"WHanyBy",4,"0",0,"0"
"149",121,"WHanyBx",4,"0",0,"0"
"150",131,"WHanyBx",4,"0",0,"0"
"151",136,"WHanyBy",4,"0",0,"0"
"152",116,"WHanyBy",2,"0",0,"0"
"153",116,"WHanyBy",1,"0",0,"0"
"154",116,"WHanyBy",3,"0",0,"0"
"155",127,"WHanyBx",1,"0",0,"0"
"156",127,"WHanyBx",3,"0",0,"0"
"157",136,"WHanyBy",1,"0",0,"0"
"158",136,"WHanyBy",3,"0",0,"0"
"159",598,"WHanyBy",4,"0",0,"0"
"160",603,"WHanyBy",4,"0",0,"0"
"161",604,"WHanyBy",4,"0",0,"0"
"162",611,"WHanyBy",4,"0",0,"0"
